Folder,Name,Accuracy
1,hop length:512 n_mfcc:20,0.5257731958762887
2,hop length:512 n_mfcc:20,0.47297297297297297
3,hop length:512 n_mfcc:20,0.5081081081081081
4,hop length:512 n_mfcc:20,0.5232323232323233
5,hop length:512 n_mfcc:20,0.532051282051282
6,hop length:512 n_mfcc:20,0.488456865127582
7,hop length:512 n_mfcc:20,0.5536992840095465
8,hop length:512 n_mfcc:20,0.6327543424317618
9,hop length:512 n_mfcc:20,0.5649509803921569
1,hop length:1024 n_mfcc:20,0.5257731958762887
2,hop length:1024 n_mfcc:20,0.46959459459459457
3,hop length:1024 n_mfcc:20,0.505945945945946
4,hop length:1024 n_mfcc:20,0.5222222222222223
5,hop length:1024 n_mfcc:20,0.5331196581196581
6,hop length:1024 n_mfcc:20,0.4908869987849332
7,hop length:1024 n_mfcc:20,0.5525059665871122
8,hop length:1024 n_mfcc:20,0.6327543424317618
9,hop length:1024 n_mfcc:20,0.5661764705882353
1,hop length:2048 n_mfcc:20,0.5223367697594502
2,hop length:2048 n_mfcc:20,0.46621621621621623
3,hop length:2048 n_mfcc:20,0.5037837837837837
4,hop length:2048 n_mfcc:20,0.5262626262626262
5,hop length:2048 n_mfcc:20,0.5277777777777778
6,hop length:2048 n_mfcc:20,0.4738760631834751
7,hop length:2048 n_mfcc:20,0.5620525059665871
8,hop length:2048 n_mfcc:20,0.6327543424317618
9,hop length:2048 n_mfcc:20,0.5686274509803921
1,hop length:512 n_mfcc:25,0.561282932416953
2,hop length:512 n_mfcc:25,0.44819819819819817
3,hop length:512 n_mfcc:25,0.5037837837837837
4,hop length:512 n_mfcc:25,0.5424242424242425
5,hop length:512 n_mfcc:25,0.5865384615384616
6,hop length:512 n_mfcc:25,0.5054678007290401
7,hop length:512 n_mfcc:25,0.5859188544152745
8,hop length:512 n_mfcc:25,0.6066997518610422
9,hop length:512 n_mfcc:25,0.5759803921568627
1,hop length:1024 n_mfcc:25,0.5589919816723941
2,hop length:1024 n_mfcc:25,0.44707207207207206
3,hop length:1024 n_mfcc:25,0.5016216216216216
4,hop length:1024 n_mfcc:25,0.5424242424242425
5,hop length:1024 n_mfcc:25,0.5876068376068376
6,hop length:1024 n_mfcc:25,0.5066828675577156
7,hop length:1024 n_mfcc:25,0.5894988066825776
8,hop length:1024 n_mfcc:25,0.6042183622828784
9,hop length:1024 n_mfcc:25,0.5747549019607843
1,hop length:2048 n_mfcc:25,0.5589919816723941
2,hop length:2048 n_mfcc:25,0.45157657657657657
3,hop length:2048 n_mfcc:25,0.5005405405405405
4,hop length:2048 n_mfcc:25,0.5353535353535354
5,hop length:2048 n_mfcc:25,0.5876068376068376
6,hop length:2048 n_mfcc:25,0.5006075334143378
7,hop length:2048 n_mfcc:25,0.5918854415274463
8,hop length:2048 n_mfcc:25,0.5967741935483871
9,hop length:2048 n_mfcc:25,0.5723039215686274
1,hop length:512 n_mfcc:30,0.5578465063001146
2,hop length:512 n_mfcc:30,0.509009009009009
3,hop length:512 n_mfcc:30,0.4789189189189189
4,hop length:512 n_mfcc:30,0.5313131313131313
5,hop length:512 n_mfcc:30,0.5876068376068376
6,hop length:512 n_mfcc:30,0.5042527339003645
7,hop length:512 n_mfcc:30,0.5739856801909308
8,hop length:512 n_mfcc:30,0.5967741935483871
9,hop length:512 n_mfcc:30,0.5906862745098039
1,hop length:1024 n_mfcc:30,0.5589919816723941
2,hop length:1024 n_mfcc:30,0.4988738738738739
3,hop length:1024 n_mfcc:30,0.4789189189189189
4,hop length:1024 n_mfcc:30,0.5323232323232323
5,hop length:1024 n_mfcc:30,0.5908119658119658
6,hop length:1024 n_mfcc:30,0.5054678007290401
7,hop length:1024 n_mfcc:30,0.5727923627684964
8,hop length:1024 n_mfcc:30,0.6029776674937966
9,hop length:1024 n_mfcc:30,0.5906862745098039
1,hop length:2048 n_mfcc:30,0.5486827033218786
2,hop length:2048 n_mfcc:30,0.48986486486486486
3,hop length:2048 n_mfcc:30,0.4821621621621622
4,hop length:2048 n_mfcc:30,0.5303030303030303
5,hop length:2048 n_mfcc:30,0.5918803418803419
6,hop length:2048 n_mfcc:30,0.5042527339003645
7,hop length:2048 n_mfcc:30,0.5787589498806682
8,hop length:2048 n_mfcc:30,0.6066997518610422
9,hop length:2048 n_mfcc:30,0.5919117647058824
